Date, Open, High, Low, Close, Volume
06/21/18, 1760.00, 1763.10, 1717.56, 1730.22, 4913834
06/20/18, 1742.50, 1762.93, 1741.36, 1750.08, 4332591
06/19/18, 1709.04, 1736.11, 1700.39, 1734.78, 4290117
06/18/18, 1706.26, 1726.7404, 1702.56, 1723.79, 3107742
06/15/18, 1714.00, 1720.87, 1708.52, 1715.97, 4777646
06/14/18, 1713.48, 1724.80, 1708.87, 1723.86, 3174415
06/13/18, 1702.81, 1713.75, 1700.12, 1704.86, 3327529
06/12/18, 1693.00, 1699.51, 1691.5235, 1698.75, 2259215
06/11/18, 1681.51, 1694.2436, 1680.5923, 1689.12, 2335484
06/08/18, 1681.12, 1689.44, 1673.01, 1683.99, 2955110
06/07/18, 1698.5576, 1699.90, 1676.105, 1689.30, 3765687
06/06/18, 1704.51, 1714.50, 1686.47, 1695.75, 5473213
06/05/18, 1672.99, 1699.00, 1670.06, 1696.35, 4782177
06/04/18, 1648.90, 1665.68, 1645.49, 1665.27, 3187737
06/01/18, 1637.03, 1646.7299, 1635.09, 1641.54, 3313385
05/31/18, 1623.00, 1635.00, 1621.35, 1629.62, 3166330
05/30/18, 1618.10, 1626.00, 1612.93, 1624.89, 2907357
05/29/18, 1600.7089, 1621.79, 1600.15, 1612.87, 3846477
05/25/18, 1603.00, 1614.12, 1600.4474, 1610.15, 2698400
05/24/18, 1598.03, 1608.24, 1588.38, 1603.07, 3429975
05/23/18, 1571.05, 1601.86, 1566.34, 1601.86, 3361892
05/22/18, 1589.89, 1589.89, 1575.25, 1581.40, 2115639
05/21/18, 1585.00, 1592.05, 1575.00, 1585.46, 2925235
05/18/18, 1581.33, 1583.5903, 1572.10, 1574.37, 2642584
05/17/18, 1580.56, 1594.04, 1573.00, 1581.76, 2147606
05/16/18, 1577.50, 1594.43, 1576.67, 1587.28, 2570572
05/15/18, 1587.8047, 1587.8047, 1565.2201, 1576.12, 5077465
05/14/18, 1604.00, 1611.18, 1600.05, 1601.54, 2509483
05/11/18, 1610.99, 1611.10, 1597.891, 1602.91, 2263900
05/10/18, 1608.4754, 1615.60, 1603.44, 1609.08, 2817450
05/09/18, 1600.00, 1608.00, 1592.00, 1608.00, 3637302
05/08/18, 1595.00, 1596.88, 1582.51, 1592.39, 3067949
05/07/18, 1589.337, 1606.949, 1587.83, 1600.14, 3801855
05/04/18, 1562.45, 1584.90, 1562.19, 1580.95, 3443567
05/03/18, 1560.01, 1574.80, 1546.02, 1572.075, 4251917
05/02/18, 1580.98, 1588.4992, 1566.36, 1569.68, 4360273
05/01/18, 1563.22, 1585.00, 1552.18, 1582.26, 4572071
04/30/18, 1582.50, 1596.00, 1560.941, 1566.13, 5464085
04/27/18, 1634.01, 1638.10, 1567.386, 1572.62, 13053241
04/26/18, 1485.01, 1529.42, 1478.50, 1517.96, 8801101
04/25/18, 1458.00, 1469.99, 1415.02, 1460.17, 6587290
04/24/18, 1535.80, 1539.50, 1448.4475, 1460.09, 7494699
04/23/18, 1546.6947, 1548.00, 1503.4103, 1517.86, 4465424
04/20/18, 1561.1999, 1561.1999, 1516.093, 1527.49, 5541622
04/19/18, 1543.22, 1568.52, 1539.06, 1556.91, 6523728
04/18/18, 1514.6501, 1533.80, 1504.11, 1527.84, 5227509
04/17/18, 1462.295, 1507.19, 1457.0219, 1503.83, 5114403
04/16/18, 1445.00, 1447.00, 1427.48, 1441.50, 2808624
04/13/18, 1449.136, 1459.7808, 1424.52, 1430.79, 3685267
04/12/18, 1439.50, 1452.12, 1435.06, 1448.50, 3135027
04/11/18, 1439.44, 1448.7758, 1424.89, 1427.05, 3582533
04/10/18, 1431.99, 1438.38, 1415.70, 1436.22, 4280144
04/09/18, 1425.03, 1438.48, 1402.571, 1406.08, 4208206
04/06/18, 1429.97, 1452.502, 1400.26, 1405.23, 5882257
04/05/18, 1441.99, 1459.5575, 1427.07, 1451.75, 6413459
