Date, Open, High, Low, Close, Volume
06/29/18, 246.95, 246.95, 242.57, 242.64, 4279382
06/28/18, 246.28, 247.32, 242.265, 244.90, 3324128
06/27/18, 252.09, 255.16, 246.85, 247.11, 2471987
06/26/18, 253.00, 254.61, 250.55, 251.54, 2423327
06/25/18, 256.42, 256.42, 250.43, 252.42, 2970532
06/22/18, 261.18, 261.50, 258.96, 259.71, 5241177
06/21/18, 261.58, 262.57, 258.44, 259.65, 1818637
06/20/18, 261.50, 264.02, 260.74, 261.22, 2495125
06/19/18, 256.00, 261.13, 254.15, 260.95, 3622147
06/18/18, 269.00, 269.00, 264.23, 264.50, 3019056
06/15/18, 270.04, 271.81, 266.33, 270.23, 6096866
06/14/18, 265.00, 269.07, 264.10, 268.46, 3704162
06/13/18, 261.76, 266.07, 260.71, 263.58, 3486822
06/12/18, 260.33, 261.73, 258.40, 261.43, 2759400
06/11/18, 257.86, 261.80, 256.32, 260.83, 3185941
06/08/18, 256.74, 259.93, 253.74, 257.97, 7369382
06/07/18, 263.00, 266.48, 262.92, 264.68, 4607658
06/06/18, 260.74, 263.78, 259.71, 263.52, 3746530
06/05/18, 259.46, 261.35, 258.04, 259.26, 4237411
06/04/18, 258.00, 259.36, 256.23, 258.37, 2588550
06/01/18, 254.37, 257.70, 252.54, 256.34, 2636023
05/31/18, 249.26, 255.29, 249.00, 252.07, 3469805
05/30/18, 251.18, 252.03, 249.33, 249.40, 2684369
05/29/18, 248.64, 251.11, 248.4675, 249.69, 2828101
05/25/18, 244.04, 250.68, 244.04, 250.03, 3221425
05/24/18, 240.86, 244.36, 240.00, 243.53, 2279928
05/23/18, 236.23, 240.63, 236.03, 240.56, 2345357
05/22/18, 240.24, 241.3695, 237.58, 238.49, 1921771
05/21/18, 239.46, 240.50, 236.67, 239.05, 2571950
05/18/18, 239.86, 240.62, 235.88, 235.99, 2526200
05/17/18, 238.12, 241.66, 238.0003, 239.45, 2282519
05/16/18, 242.14, 242.21, 238.99, 240.51, 2932964
05/15/18, 242.31, 244.44, 238.50, 241.58, 2498386
05/14/18, 246.28, 248.42, 243.80, 244.76, 2757954
05/11/18, 243.08, 244.50, 241.60, 243.38, 2405205
05/10/18, 239.73, 243.73, 238.61, 243.51, 2574726
05/09/18, 235.80, 239.13, 234.0477, 238.05, 3503116
05/08/18, 235.74, 238.96, 234.816, 238.85, 4014883
05/07/18, 231.30, 236.90, 231.00, 235.97, 3695339
05/04/18, 223.65, 232.09, 221.98, 230.52, 5130280
05/03/18, 226.49, 227.88, 222.68, 225.25, 5801139
05/02/18, 233.30, 233.44, 226.80, 228.74, 5295034
05/01/18, 230.845, 230.845, 226.36, 230.38, 4494715
04/30/18, 232.58, 234.12, 228.32, 229.42, 3968159
04/27/18, 233.57, 234.20, 230.70, 232.78, 2721139
04/26/18, 231.00, 231.88, 228.30, 230.42, 3275088
04/25/18, 229.00, 231.10, 225.86, 229.00, 3402290
04/24/18, 235.74, 236.12, 226.69, 228.39, 4488879
04/23/18, 237.99, 238.32, 232.12, 233.45, 3133710
04/20/18, 241.22, 241.60, 235.01, 237.12, 4152992
04/19/18, 243.54, 246.28, 240.66, 242.86, 5014099
04/18/18, 251.00, 251.67, 247.46, 249.59, 2051064
04/17/18, 250.89, 252.85, 249.64, 251.74, 2508383
04/16/18, 249.09, 249.89, 245.68, 249.37, 2517175
04/13/18, 250.00, 252.00, 244.90, 246.94, 4831233
