Date, Open, High, Low, Close, Volume
06/29/18, 104.93, 105.68, 104.65, 104.81, 6774510
06/28/18, 103.91, 105.1198, 103.6753, 104.77, 6304015
06/27/18, 104.50, 105.88, 103.4801, 103.96, 8803302
06/26/18, 104.46, 104.71, 103.91, 104.26, 6549998
06/25/18, 106.00, 106.08, 103.74, 104.45, 7995781
06/22/18, 106.07, 106.80, 105.81, 106.34, 9285729
06/21/18, 107.01, 107.25, 105.791, 105.89, 7707762
06/20/18, 107.00, 107.90, 105.8101, 107.15, 18625882
06/19/18, 105.87, 106.99, 105.76, 106.10, 8869452
06/18/18, 107.00, 107.475, 106.50, 107.06, 9288554
06/15/18, 108.17, 109.42, 107.85, 108.85, 16169231
06/14/18, 106.45, 109.49, 106.45, 108.75, 18068650
06/13/18, 103.20, 107.88, 102.67, 106.31, 22009406
06/12/18, 104.73, 105.22, 103.9639, 104.33, 9215266
06/11/18, 103.93, 104.79, 103.75, 104.35, 8174996
06/08/18, 102.09, 103.99, 101.8282, 103.98, 7090310
06/07/18, 101.91, 102.96, 101.81, 102.47, 7559222
06/06/18, 100.06, 101.94, 99.76, 101.91, 7832969
06/05/18, 100.36, 100.51, 99.78, 99.94, 5974427
06/04/18, 99.76, 100.50, 99.70, 100.24, 6597970
06/01/18, 99.69, 100.05, 99.20, 99.36, 6847726
05/31/18, 99.76, 100.1368, 98.809, 99.47, 9620045
05/30/18, 100.50, 100.55, 99.42, 99.98, 7216355
05/29/18, 100.55, 101.65, 99.38, 99.69, 11270381
05/25/18, 102.25, 103.00, 101.97, 102.20, 6982728
05/24/18, 102.81, 102.86, 101.21, 102.11, 7474093
05/23/18, 103.20, 103.34, 102.07, 102.89, 8046577
05/22/18, 104.40, 105.49, 103.99, 104.07, 6971590
05/21/18, 104.22, 104.6799, 103.61, 104.06, 5848704
05/18/18, 104.34, 104.79, 103.56, 103.93, 5427333
05/17/18, 105.23, 105.48, 104.091, 104.34, 7320587
05/16/18, 103.25, 105.04, 103.15, 105.04, 8111594
05/15/18, 102.44, 103.315, 102.101, 102.92, 5762417
