Date, Open, High, Low, Close, Volume
06/29/18, 13.83, 13.90, 13.57, 13.61, 71964493
06/28/18, 13.94, 14.00, 13.68, 13.83, 64430989
06/27/18, 13.86, 14.435, 13.80, 13.96, 135400642
06/26/18, 13.46, 13.94, 13.39, 13.74, 213833225
06/25/18, 13.03, 13.05, 12.74, 12.75, 76819797
06/22/18, 12.76, 13.08, 12.76, 13.05, 74119111
06/21/18, 12.81, 12.82, 12.61, 12.76, 70692167
06/20/18, 12.76, 13.11, 12.75, 12.88, 96425602
06/19/18, 13.06, 13.07, 12.90, 12.95, 77874464
06/18/18, 13.21, 13.23, 13.10, 13.20, 68340242
06/15/18, 13.51, 13.52, 13.30, 13.30, 96180108
06/14/18, 13.87, 13.91, 13.56, 13.64, 60671122
06/13/18, 14.02, 14.055, 13.8301, 13.89, 35499835
06/12/18, 14.03, 14.14, 13.91, 13.98, 41519137
06/11/18, 13.99, 14.03, 13.85, 13.98, 43601680
06/08/18, 13.78, 14.07, 13.71, 13.93, 50244868
06/07/18, 13.63, 13.80, 13.61, 13.78, 70982420
06/06/18, 13.82, 13.8857, 13.63, 13.64, 62145270
06/05/18, 13.71, 13.93, 13.52, 13.80, 70448426
06/04/18, 14.13, 14.21, 13.68, 13.71, 82416322
06/01/18, 14.10, 14.15, 13.95, 14.10, 56888824
05/31/18, 14.10, 14.13, 13.95, 14.08, 55456439
05/30/18, 14.14, 14.24, 14.02, 14.17, 52208405
05/29/18, 14.48, 14.52, 14.015, 14.18, 76044428
05/25/18, 14.61, 14.665, 14.41, 14.63, 49698718
05/24/18, 14.34, 14.72, 14.24, 14.60, 105414027
05/23/18, 15.20, 15.21, 14.11, 14.18, 147338565
05/22/18, 15.39, 15.59, 15.29, 15.29, 65739059
05/21/18, 15.36, 15.55, 15.20, 15.26, 77916849
05/18/18, 15.08, 15.10, 14.92, 14.97, 34363828
05/17/18, 15.12, 15.24, 14.92, 15.03, 50728581
05/16/18, 14.71, 15.10, 14.69, 15.03, 54623446
05/15/18, 14.70, 14.72, 14.565, 14.71, 35258722
05/14/18, 14.70, 14.80, 14.64, 14.71, 41033047
05/11/18, 14.74, 14.77, 14.52, 14.60, 28611050
05/10/18, 14.76, 14.76, 14.50, 14.69, 37480947
05/09/18, 14.35, 14.68, 14.30, 14.62, 50867876
05/08/18, 14.18, 14.49, 14.09, 14.27, 59336105
05/07/18, 14.09, 14.18, 14.00, 14.07, 32868455
05/04/18, 13.87, 14.13, 13.77, 14.10, 41908959
05/03/18, 14.19, 14.19, 13.85, 13.93, 60696993
05/02/18, 14.10, 14.375, 14.08, 14.18, 51678009
05/01/18, 14.08, 14.09, 13.825, 14.05, 51372461
04/30/18, 14.37, 14.39, 14.07, 14.07, 48534794
04/27/18, 14.22, 14.48, 14.19, 14.38, 48827621
04/26/18, 14.11, 14.495, 14.06, 14.38, 64858158
04/25/18, 14.72, 14.73, 13.91, 14.05, 111261793
04/24/18, 14.66, 14.77, 14.54, 14.68, 74261708
04/23/18, 14.75, 14.78, 14.39, 14.52, 73316830
04/20/18, 14.94, 15.05, 14.34, 14.54, 188686041
04/19/18, 13.67, 14.06, 13.63, 13.99, 87782256
04/18/18, 13.88, 13.92, 13.62, 13.66, 42983544
04/17/18, 13.38, 13.87, 13.36, 13.79, 72129064
04/16/18, 13.50, 13.58, 13.23, 13.33, 58279028
04/13/18, 13.41, 13.68, 13.36, 13.49, 71168492
04/12/18, 13.03, 13.245, 12.97, 13.18, 63631230
04/11/18, 12.91, 13.0799, 12.85, 12.97, 50220026
04/10/18, 13.01, 13.14, 12.95, 13.05, 57656791
04/09/18, 13.10, 13.16, 12.82, 12.83, 68332636
04/06/18, 13.32, 13.47, 12.93, 13.06, 63465872
04/05/18, 13.29, 13.56, 13.165, 13.43, 53526222
04/04/18, 12.82, 13.30, 12.79, 13.28, 57172424
04/03/18, 13.12, 13.14, 12.80, 13.13, 59785137
04/02/18, 13.45, 13.54, 12.96, 13.12, 72086963
03/29/18, 13.58, 13.66, 13.35, 13.48, 74514308
03/28/18, 13.52, 13.95, 13.085, 13.68, 139104727
03/27/18, 12.92, 13.72, 12.82, 13.44, 154968608
03/26/18, 13.23, 13.2395, 12.73, 12.89, 105435655
03/23/18, 13.40, 13.4499, 13.02, 13.07, 84042290
03/22/18, 13.75, 13.79, 13.32, 13.35, 71227579
03/21/18, 13.66, 13.96, 13.57, 13.88, 65142594
03/20/18, 14.10, 14.11, 13.62, 13.64, 88921488
03/19/18, 14.26, 14.28, 14.00, 14.07, 66184199
03/16/18, 14.34, 14.42, 14.175, 14.31, 114488969
03/15/18, 14.31, 14.55, 14.26, 14.36, 47424899
03/14/18, 14.46, 14.59, 14.235, 14.27, 57066865
03/13/18, 14.69, 14.74, 14.34, 14.43, 118718428
03/12/18, 15.02, 15.33, 14.96, 15.10, 70226636
03/09/18, 14.62, 14.95, 14.51, 14.94, 64105830
03/08/18, 14.50, 14.64, 14.41, 14.52, 49595178
03/07/18, 14.48, 14.585, 14.18, 14.51, 82999190
03/06/18, 14.60, 14.67, 14.51, 14.64, 58106871
03/05/18, 14.18, 14.65, 14.12, 14.42, 87449520
03/02/18, 13.99, 14.24, 13.97, 14.12, 74629576
03/01/18, 14.16, 14.26, 13.95, 14.02, 91875668
02/28/18, 14.60, 14.615, 14.09, 14.11, 88614075
02/27/18, 14.67, 15.18, 14.50, 14.50, 93024033
02/26/18, 14.39, 14.675, 13.95, 14.65, 145220591
02/23/18, 14.53, 14.67, 14.485, 14.49, 52912587
02/22/18, 14.53, 15.07, 14.49, 14.62, 78497230
02/21/18, 14.71, 14.73, 14.45, 14.49, 98111484
02/20/18, 14.92, 14.97, 14.62, 14.74, 61665671
02/16/18, 14.85, 15.23, 14.81, 15.05, 64724753
02/15/18, 14.93, 15.14, 14.77, 14.85, 54885024
02/14/18, 14.69, 15.03, 14.64, 14.90, 85912045
02/13/18, 14.74, 14.79, 14.53, 14.67, 73700292
02/12/18, 15.06, 15.14, 14.78, 14.82, 75582420
02/09/18, 14.69, 15.03, 14.23, 14.94, 129055811
02/08/18, 15.19, 15.205, 14.45, 14.45, 138636134
02/07/18, 15.31, 15.52, 15.25, 15.25, 76007223
02/06/18, 14.82, 15.34, 14.71, 15.27, 126819897
02/05/18, 15.48, 15.63, 14.91, 14.91, 123241607
02/02/18, 15.89, 15.93, 15.60, 15.64, 82294807
02/01/18, 16.06, 16.11, 15.92, 16.02, 52823960
01/31/18, 16.06, 16.275, 15.99, 16.17, 76769230
01/30/18, 16.10, 16.27, 15.95, 15.95, 68254190
