Date, Open, High, Low, Close, Volume
06/21/18, 1185.51, 1190.333, 1163.48, 1169.44, 2244434
06/20/18, 1183.30, 1201.49, 1182.03, 1184.07, 2584260
06/19/18, 1170.11, 1182.81, 1161.61, 1178.69, 2364127
06/18/18, 1152.69, 1184.13, 1151.00, 1183.58, 1651913
06/15/18, 1159.92, 1163.9088, 1153.69, 1159.27, 2221891
06/14/18, 1152.21, 1165.99, 1150.60, 1160.11, 1771120
06/13/18, 1152.28, 1155.64, 1143.38, 1144.23, 1715074
06/12/18, 1141.02, 1148.75, 1141.02, 1148.19, 1304612
06/11/18, 1132.94, 1147.74, 1131.3986, 1140.90, 1239770
06/08/18, 1131.21, 1138.78, 1123.23, 1132.71, 1364226
06/07/18, 1144.58, 1145.865, 1126.12, 1134.42, 1805388
06/06/18, 1152.77, 1154.7139, 1136.32, 1146.95, 1746719
06/05/18, 1154.66, 1161.0964, 1147.46, 1151.02, 1648222
06/04/18, 1138.50, 1157.8573, 1137.00, 1153.04, 2237701
06/01/18, 1112.87, 1138.16, 1112.0101, 1135.00, 3160100
05/31/18, 1082.00, 1110.00, 1078.00, 1100.00, 3968362
05/30/18, 1073.48, 1078.99, 1066.55, 1077.47, 1434282
05/29/18, 1076.00, 1081.34, 1063.08, 1068.07, 1803805
05/25/18, 1086.55, 1089.57, 1082.60, 1084.08, 1111161
05/24/18, 1086.90, 1087.12, 1072.30, 1085.45, 1030194
05/23/18, 1070.00, 1088.00, 1066.96, 1085.96, 1186998
05/22/18, 1089.80, 1091.80, 1072.26, 1075.31, 1111299
05/21/18, 1079.00, 1093.30, 1078.00, 1084.01, 1258999
05/18/18, 1066.00, 1073.73, 1064.68, 1069.64, 1774149
05/17/18, 1081.46, 1091.00, 1076.42, 1081.26, 1286907
05/16/18, 1085.09, 1094.3825, 1081.6301, 1084.09, 1281406
05/15/18, 1096.90, 1099.12, 1078.78, 1084.87, 1786926
05/14/18, 1105.57, 1118.15, 1104.80, 1106.60, 1966893
05/11/18, 1100.41, 1109.01, 1097.22, 1103.38, 1525218
05/10/18, 1095.00, 1109.41, 1093.88, 1105.47, 1820676
05/09/18, 1064.10, 1094.00, 1062.11, 1088.95, 2357979
05/08/18, 1064.62, 1065.23, 1051.641, 1058.59, 1301524
05/07/18, 1053.89, 1065.00, 1050.2697, 1059.46, 1719971
05/04/18, 1019.61, 1051.8792, 1018.05, 1051.00, 1844600
05/03/18, 1025.37, 1030.69, 1007.89, 1026.30, 1964066
05/02/18, 1034.00, 1043.98, 1023.16, 1026.05, 1734872
05/01/18, 1016.30, 1041.73, 1010.61, 1040.75, 1766256
04/30/18, 1034.42, 1038.37, 1018.30, 1018.58, 1724632
04/27/18, 1045.54, 1051.695, 1027.59, 1031.45, 2037263
04/26/18, 1033.22, 1052.02, 1020.45, 1043.31, 2546332
04/25/18, 1029.75, 1036.07, 1017.01, 1022.99, 2893047
04/24/18, 1059.20, 1064.49, 1012.855, 1022.64, 6411038
04/23/18, 1082.98, 1088.00, 1066.68, 1073.81, 3479496
04/20/18, 1084.27, 1094.75, 1072.10, 1077.32, 2121692
04/19/18, 1069.02, 1097.51, 1069.02, 1089.45, 1994247
04/18/18, 1079.01, 1082.00, 1070.515, 1075.39, 1556298
04/17/18, 1061.20, 1085.00, 1057.0901, 1079.36, 2729197
04/16/18, 1045.55, 1051.4295, 1033.92, 1046.10, 1488822
04/13/18, 1046.89, 1052.98, 1030.15, 1036.04, 1270461
04/12/18, 1031.47, 1044.65, 1026.05, 1037.29, 1644794
04/11/18, 1032.00, 1035.87, 1019.20, 1025.06, 1703015
04/10/18, 1030.26, 1041.21, 1015.41, 1036.50, 1836678
04/09/18, 1020.04, 1044.59, 1019.20, 1020.09, 1661012
04/06/18, 1023.10, 1036.00, 1006.2501, 1009.95, 2006683
04/05/18, 1046.39, 1046.71, 1024.00, 1032.64, 1791761
04/04/18, 998.23, 1032.74, 996.51, 1029.71, 2536198
04/03/18, 1016.15, 1025.00, 997.245, 1018.68, 2566146
04/02/18, 1027.62, 1039.53, 994.25, 1012.63, 3253387
03/29/18, 1011.21, 1048.05, 1004.04, 1037.14, 3466876
03/28/18, 1001.91, 1024.99, 984.00, 1005.18, 3884943
03/27/18, 1063.90, 1064.54, 997.62, 1006.94, 3040809
03/26/18, 1050.60, 1059.27, 1010.58, 1054.09, 3299151
03/23/18, 1051.37, 1066.7799, 1024.87, 1026.55, 2493971
03/22/18, 1080.01, 1083.92, 1049.64, 1053.15, 3465608
03/21/18, 1092.57, 1108.70, 1087.21, 1094.00, 2244865
03/20/18, 1098.40, 1105.55, 1082.42, 1095.80, 2729857
03/19/18, 1117.76, 1119.37, 1088.92, 1100.07, 3182796
03/16/18, 1155.35, 1156.81, 1131.36, 1134.42, 2932759
03/15/18, 1149.57, 1162.50, 1135.66, 1150.61, 1669094
03/14/18, 1145.80, 1159.7599, 1142.35, 1148.89, 2093482
03/13/18, 1171.83, 1178.00, 1134.57, 1139.91, 2156999
03/12/18, 1165.05, 1178.16, 1159.20, 1165.93, 2215304
03/09/18, 1139.50, 1161.00, 1134.29, 1160.84, 2130892
03/08/18, 1117.20, 1131.44, 1117.20, 1129.38, 1693133
03/07/18, 1092.82, 1116.20, 1089.9102, 1115.04, 1537429
03/06/18, 1102.1025, 1105.63, 1094.50, 1100.90, 1169068
03/05/18, 1078.13, 1101.18, 1072.2701, 1094.76, 1432369
03/02/18, 1057.98, 1086.89, 1050.11, 1084.14, 2508145
03/01/18, 1109.54, 1111.2732, 1067.285, 1071.41, 2766856
02/28/18, 1122.00, 1127.65, 1103.00, 1103.92, 2464619
02/27/18, 1143.70, 1144.25, 1116.7901, 1117.51, 2148159
02/26/18, 1131.86, 1144.20, 1129.34, 1143.70, 1545619
02/23/18, 1118.66, 1129.00, 1108.4373, 1128.09, 1264638
02/22/18, 1119.17, 1125.46, 1105.15, 1109.90, 1400536
02/21/18, 1109.10, 1136.20, 1107.51, 1113.75, 2074321
02/20/18, 1092.76, 1116.29, 1090.00, 1103.59, 1687656
02/16/18, 1093.38, 1108.31, 1091.55, 1095.50, 1997405
02/15/18, 1083.45, 1094.10, 1067.23, 1091.36, 1869763
02/14/18, 1054.32, 1075.47, 1049.80, 1072.70, 2065202
02/13/18, 1050.00, 1061.22, 1046.92, 1054.14, 1579258
02/12/18, 1056.67, 1065.57, 1045.49, 1054.56, 2812011
02/09/18, 1025.88, 1051.72, 997.00, 1046.27, 4917970
02/08/18, 1059.87, 1063.93, 1004.70, 1007.71, 3339601
02/07/18, 1084.97, 1086.53, 1054.62, 1055.41, 2597094
02/06/18, 1033.98, 1087.375, 1030.01, 1084.43, 3831524
02/05/18, 1100.61, 1114.99, 1056.74, 1062.39, 4177469
02/02/18, 1127.42, 1131.30, 1111.17, 1119.20, 5892122
02/01/18, 1175.99, 1187.45, 1169.36, 1181.59, 3675709
