Date, Open, High, Low, Close, Volume
06/29/18, 22.80, 23.05, 22.67, 22.69, 7585857
06/28/18, 22.83, 22.85, 22.345, 22.67, 9800846
06/27/18, 22.98, 23.17, 22.81, 22.81, 7520858
06/26/18, 23.13, 23.225, 22.99, 23.05, 6863170
06/25/18, 23.63, 23.76, 22.94, 23.09, 8785300
06/22/18, 23.65, 23.8999, 23.59, 23.80, 15110929
06/21/18, 23.54, 23.62, 23.3101, 23.50, 8911812
06/20/18, 23.60, 23.69, 23.30, 23.30, 6834371
06/19/18, 23.31, 23.565, 23.155, 23.52, 8855493
06/18/18, 23.37, 23.75, 23.30, 23.65, 5554302
06/15/18, 23.70, 23.70, 23.44, 23.59, 13022832
06/14/18, 23.63, 23.99, 23.63, 23.80, 8242964
06/13/18, 23.62, 23.75, 23.54, 23.54, 8073220
06/12/18, 23.99, 23.99, 23.55, 23.62, 6088403
06/11/18, 23.68, 24.20, 23.65, 24.01, 9149072
06/08/18, 23.40, 23.745, 23.40, 23.71, 6778831
06/07/18, 23.53, 23.70, 23.37, 23.55, 9292377
06/06/18, 23.52, 23.60, 23.18, 23.51, 10129209
06/05/18, 22.84, 23.50, 22.78, 23.42, 14277958
06/04/18, 22.70, 22.83, 22.60, 22.74, 8173542
06/01/18, 22.14, 22.71, 22.11, 22.68, 9230427
05/31/18, 22.11, 22.32, 21.96, 22.03, 15182464
05/30/18, 22.395, 22.48, 21.04, 22.16, 18181969
05/29/18, 21.739, 21.775, 21.20, 21.30, 13558919
05/25/18, 21.86, 21.98, 21.80, 21.91, 7733087
05/24/18, 21.80, 21.975, 21.44, 21.92, 8288880
05/23/18, 21.87, 21.90, 21.55, 21.90, 9861590
05/22/18, 22.12, 22.26, 22.01, 22.07, 8676696
05/21/18, 22.34, 22.34, 22.00, 22.09, 6349838
05/18/18, 22.30, 22.33, 22.11, 22.14, 6295602
05/17/18, 22.16, 22.47, 22.12, 22.30, 7286702
05/16/18, 22.06, 22.28, 21.99, 22.23, 6158259
05/15/18, 22.40, 22.41, 21.7865, 22.04, 8544769
05/14/18, 22.82, 23.065, 22.52, 22.57, 7655228
05/11/18, 22.72, 22.84, 22.63, 22.71, 5544361
05/10/18, 22.67, 22.78, 22.51, 22.75, 4950390
05/09/18, 22.01, 22.62, 21.99, 22.58, 6288543
05/08/18, 21.75, 21.985, 21.65, 21.96, 6372847
05/07/18, 21.71, 21.86, 21.66, 21.79, 6851066
05/04/18, 21.21, 21.775, 21.21, 21.68, 6547696
05/03/18, 21.46, 21.50, 20.96, 21.32, 5958310
05/02/18, 21.91, 21.91, 21.50, 21.55, 8476372
05/01/18, 21.45, 21.89, 21.40, 21.82, 8273719
04/30/18, 21.66, 21.86, 21.38, 21.49, 7536560
04/27/18, 21.52, 21.66, 21.46, 21.61, 7237489
04/26/18, 21.50, 21.53, 21.33, 21.48, 5632122
04/25/18, 21.17, 21.36, 21.08, 21.31, 7279447
