Date, Open, High, Low, Close, Volume
06/29/18, 98.93, 99.91, 98.33, 98.61, 28053214
06/28/18, 97.38, 99.11, 97.26, 98.63, 26650671
06/27/18, 99.58, 100.02, 97.40, 97.54, 31298386
06/26/18, 98.82, 100.08, 98.75, 99.08, 26897244
06/25/18, 100.00, 100.11, 97.30, 98.39, 35433333
06/22/18, 100.41, 100.77, 99.625, 100.41, 38923105
06/21/18, 102.075, 102.46, 100.88, 101.14, 23198188
06/20/18, 101.37, 102.52, 101.12, 101.87, 26180792
06/19/18, 99.65, 101.00, 99.50, 100.86, 28653087
06/18/18, 100.01, 101.11, 99.42, 100.86, 23586037
06/15/18, 101.51, 101.53, 100.07, 100.13, 65738585
06/14/18, 101.65, 102.03, 101.00, 101.42, 25691811
06/13/18, 101.72, 102.01, 100.56, 100.85, 29492875
06/12/18, 101.10, 101.4493, 100.75, 101.31, 18325228
06/11/18, 101.0099, 101.59, 100.67, 101.05, 23490894
06/08/18, 101.0924, 101.95, 100.54, 101.63, 22165128
06/07/18, 102.65, 102.69, 100.38, 100.88, 28232197
06/06/18, 102.48, 102.60, 101.90, 102.49, 21122917
06/05/18, 102.00, 102.33, 101.53, 102.19, 23514402
06/04/18, 101.26, 101.86, 100.851, 101.67, 27281623
06/01/18, 99.2798, 100.86, 99.17, 100.79, 28655624
05/31/18, 99.29, 99.99, 98.61, 98.84, 34140891
05/30/18, 98.31, 99.25, 97.91, 98.95, 22158528
05/29/18, 97.84, 98.88, 97.23, 98.01, 28670981
05/25/18, 98.30, 98.98, 97.86, 98.36, 18363918
05/24/18, 98.725, 98.94, 96.81, 98.31, 26649287
05/23/18, 96.71, 98.73, 96.32, 98.66, 21251222
05/22/18, 97.68, 98.17, 97.20, 97.50, 15441189
05/21/18, 97.00, 98.01, 96.80, 97.60, 19422467
05/18/18, 96.01, 96.93, 96.01, 96.36, 17865840
05/17/18, 96.76, 97.5401, 95.83, 96.18, 17246716
05/16/18, 97.36, 97.40, 96.615, 97.15, 17384742
05/15/18, 97.24, 97.85, 96.34, 97.32, 24594010
05/14/18, 97.92, 98.69, 97.31, 98.03, 19454124
05/11/18, 97.80, 97.87, 97.04, 97.70, 16778316
05/10/18, 97.46, 97.95, 97.05, 97.91, 22388119
05/09/18, 96.01, 96.97, 95.05, 96.94, 27327410
05/08/18, 95.8456, 96.16, 95.0631, 95.81, 23484589
05/07/18, 95.17, 96.71, 95.10, 96.22, 24242019
