Date, Open, High, Low, Close, Volume
06/29/18, 399.19, 401.3299, 390.55, 391.43, 9252511
06/28/18, 395.00, 396.90, 387.10, 395.42, 12219888
06/27/18, 407.56, 411.5865, 390.00, 390.39, 16541426
06/26/18, 393.28, 404.78, 389.05, 399.39, 15191157
06/25/18, 404.69, 405.99, 378.75, 384.48, 22490922
06/22/18, 419.98, 420.50, 409.651, 411.09, 10428621
06/21/18, 421.38, 423.2056, 406.3701, 415.44, 18389936
06/20/18, 415.15, 419.4675, 409.60, 416.76, 16494572
06/19/18, 389.50, 405.29, 388.50, 404.98, 16697104
06/18/18, 387.72, 393.16, 386.50, 390.40, 6824794
06/15/18, 390.71, 398.86, 387.51, 391.98, 13588114
06/14/18, 384.27, 395.03, 383.25, 392.87, 14598333
06/13/18, 367.53, 384.2537, 364.11, 379.93, 18222799
06/12/18, 363.60, 365.98, 362.00, 363.83, 4290969
06/11/18, 361.88, 365.67, 360.91, 361.45, 4432445
06/08/18, 358.06, 362.39, 356.25, 360.57, 5225736
06/07/18, 368.54, 368.70, 357.80, 361.40, 8278040
06/06/18, 367.7848, 369.6799, 363.33, 367.45, 7712302
06/05/18, 363.32, 369.83, 361.4124, 365.80, 8358045
06/04/18, 362.6847, 363.00, 355.51, 361.81, 7681995
06/01/18, 353.88, 359.99, 352.82, 359.93, 7112292
05/31/18, 353.80, 355.53, 350.21, 351.60, 6921687
05/30/18, 352.37, 354.00, 349.26, 353.54, 5685531
05/29/18, 351.50, 356.10, 346.71, 349.73, 9717921
05/25/18, 349.90, 354.36, 348.83, 351.29, 7817400
05/24/18, 344.34, 354.00, 341.12, 349.29, 14758553
05/23/18, 329.04, 345.00, 328.09, 344.72, 10049147
05/22/18, 334.05, 336.63, 331.15, 331.62, 5964448
05/21/18, 327.11, 331.88, 325.45, 331.82, 6657326
05/18/18, 324.90, 326.42, 322.80, 324.18, 3577717
05/17/18, 327.53, 330.45, 323.1734, 325.22, 4935708
05/16/18, 326.28, 329.72, 325.14, 328.19, 3671690
05/15/18, 325.94, 326.94, 322.434, 326.13, 4746096
05/14/18, 327.25, 330.5038, 327.04, 328.53, 4089800
05/11/18, 329.65, 331.26, 324.87, 326.46, 4589731
05/10/18, 331.50, 332.055, 327.3438, 329.60, 5302254
05/09/18, 328.79, 331.95, 327.51, 330.30, 5633444
05/08/18, 325.90, 327.348, 323.05, 326.89, 4735738
05/07/18, 321.9947, 329.0234, 319.34, 326.26, 7117823
05/04/18, 308.71, 320.98, 307.67, 320.09, 8209513
05/03/18, 312.59, 312.59, 305.73, 311.69, 6135828
05/02/18, 311.65, 317.10, 310.4034, 313.36, 5697120
05/01/18, 310.36, 313.48, 306.69, 313.30, 6036639
04/30/18, 311.07, 317.88, 310.118, 312.46, 6088787
04/27/18, 316.25, 317.45, 306.50, 311.76, 7074384
04/26/18, 310.00, 316.63, 305.58, 313.98, 9266699
04/25/18, 306.37, 309.98, 292.615, 305.76, 14919698
04/24/18, 319.2168, 320.249, 302.31, 307.02, 13893217
04/23/18, 329.1499, 331.22, 317.08, 318.69, 8968015
04/20/18, 332.22, 336.51, 326.00, 327.77, 9158655
04/19/18, 332.88, 335.31, 326.77, 332.70, 8438825
04/18/18, 336.30, 338.82, 331.10, 334.52, 11221139
04/17/18, 329.66, 338.62, 323.77, 336.06, 33866456
04/16/18, 315.99, 316.10, 304.00, 307.78, 20307921
04/13/18, 317.29, 317.49, 308.23, 311.65, 12046573
04/12/18, 309.7187, 311.13, 306.75, 309.25, 10249403
04/11/18, 302.8847, 311.64, 301.82, 303.67, 14877429
04/10/18, 297.68, 298.95, 291.69, 298.07, 10719097
04/09/18, 291.77, 299.55, 289.12, 289.93, 9853564
04/06/18, 289.10, 298.85, 285.65, 288.85, 11444777
04/05/18, 293.15, 299.16, 289.11, 293.97, 10655178
04/04/18, 273.63, 290.31, 271.2239, 288.94, 12913978
04/03/18, 285.45, 291.25, 278.01, 283.67, 12694862
04/02/18, 291.94, 292.87, 275.05, 280.29, 13405760
03/29/18, 287.00, 295.35, 275.90, 295.35, 19145522
03/28/18, 298.39, 298.80, 281.61, 285.77, 18972912
03/27/18, 322.49, 322.90, 297.00, 300.69, 12068632
03/26/18, 309.36, 321.03, 302.00, 320.35, 11988274
03/23/18, 307.41, 310.73, 300.36, 300.94, 9529948
03/22/18, 313.07, 314.12, 305.66, 306.70, 8063305
03/21/18, 316.35, 319.40, 314.511, 316.48, 5263911
03/20/18, 313.26, 319.50, 312.80, 317.50, 5991945
03/19/18, 315.80, 317.00, 307.34, 313.48, 9925162
03/16/18, 321.42, 324.11, 318.37, 318.45, 7333734
03/15/18, 323.17, 323.40, 318.14, 321.09, 5642883
03/14/18, 318.16, 323.88, 317.70, 321.55, 10475073
03/13/18, 323.87, 325.8409, 313.278, 315.88, 12917224
03/12/18, 333.56, 333.98, 318.60, 321.30, 20369152
03/09/18, 321.33, 331.44, 320.23, 331.44, 14320712
03/08/18, 322.20, 322.9176, 314.13, 317.00, 11340066
03/07/18, 320.00, 323.74, 314.55, 321.16, 17132222
03/06/18, 319.88, 325.79, 316.50, 325.22, 18525844
03/05/18, 302.85, 316.91, 297.60, 315.00, 18986099
03/02/18, 284.65, 301.18, 283.23, 301.05, 13345313
03/01/18, 292.75, 295.25, 283.83, 290.39, 11932051
02/28/18, 293.10, 295.75, 290.78, 291.38, 7653454
02/27/18, 294.77, 297.36, 290.59, 290.61, 9416489
02/26/18, 288.75, 295.6475, 287.01, 294.16, 10268633
02/23/18, 281.00, 286.00, 277.81, 285.93, 7301809
02/22/18, 283.88, 284.50, 274.45, 278.14, 8891535
02/21/18, 282.07, 286.64, 280.01, 281.04, 9371121
02/20/18, 277.74, 285.812, 276.61, 278.55, 7769023
02/16/18, 278.73, 281.96, 275.69, 278.52, 8312380
02/15/18, 270.03, 280.50, 267.63, 280.27, 10759667
02/14/18, 260.47, 269.88, 260.33, 266.00, 10971985
02/13/18, 257.29, 261.41, 254.70, 258.27, 6855151
02/12/18, 252.14, 259.15, 249.00, 257.95, 8534906
02/09/18, 253.85, 255.7999, 236.11, 249.47, 16906942
02/08/18, 267.08, 267.62, 250.00, 250.10, 9306701
02/07/18, 266.58, 272.45, 264.325, 264.56, 8981548
02/06/18, 247.70, 266.70, 245.00, 265.72, 12595801
02/05/18, 262.00, 267.899, 250.03, 254.26, 11896053
02/02/18, 263.00, 270.62, 262.71, 267.43, 9123610
02/01/18, 266.41, 271.95, 263.38, 265.07, 9669011
01/31/18, 281.94, 282.289, 269.58, 270.30, 11695072
01/30/18, 277.00, 282.73, 272.70, 278.80, 12482852
01/29/18, 274.20, 286.81, 273.92, 284.59, 17529749
01/26/18, 271.485, 274.60, 268.76, 274.60, 11021839
01/25/18, 263.00, 272.30, 260.23, 269.70, 15336378
01/24/18, 250.88, 261.71, 249.311, 261.30, 17352448
01/23/18, 255.05, 257.71, 248.02, 250.29, 27705332
01/22/18, 222.00, 227.785, 221.20, 227.58, 17703293
01/19/18, 222.75, 223.49, 218.50, 220.46, 10548567
01/18/18, 220.34, 220.58, 216.55, 220.33, 8225339
01/17/18, 221.00, 221.15, 216.32, 217.50, 9123056
01/16/18, 224.24, 226.07, 217.20, 221.53, 13516067
01/12/18, 217.18, 222.55, 216.00, 221.23, 8199423
01/11/18, 214.29, 217.75, 213.35, 217.24, 7659485
01/10/18, 207.57, 213.64, 206.91, 212.52, 5951486
01/09/18, 212.11, 212.98, 208.59, 209.31, 6125855
01/08/18, 210.02, 212.50, 208.44, 212.05, 5580178
01/05/18, 207.25, 210.02, 205.59, 209.99, 7033240
01/04/18, 206.20, 207.05, 204.0006, 205.63, 6029616
01/03/18, 202.05, 206.21, 201.50, 205.05, 8591369
01/02/18, 196.10, 201.65, 195.42, 201.07, 10966889
12/29/17, 192.51, 193.95, 191.22, 191.96, 5187606
12/28/17, 187.18, 194.49, 186.85, 192.71, 10107392
12/27/17, 187.80, 188.10, 185.22, 186.24, 4002098
12/26/17, 189.78, 189.94, 186.40, 187.76, 3045652
12/22/17, 188.33, 190.95, 186.80, 189.94, 3878904
12/21/17, 189.44, 190.95, 187.58, 188.62, 4729836
12/20/17, 187.94, 189.11, 185.26, 188.82, 6545394
12/19/17, 190.18, 190.2981, 185.75, 187.02, 7032978
12/18/17, 191.20, 191.65, 188.90, 190.42, 5010961
12/15/17, 189.61, 191.43, 188.01, 190.12, 7285641
12/14/17, 187.98, 192.64, 187.20, 189.56, 7792849
12/13/17, 186.10, 188.69, 185.41, 187.86, 4710041
12/12/17, 186.01, 187.85, 184.8183, 185.73, 4265907
12/11/17, 187.85, 189.42, 185.91, 186.22, 5298583
12/08/17, 186.50, 189.42, 186.30, 188.54, 4987270
12/07/17, 185.71, 187.34, 183.22, 185.20, 4659542
12/06/17, 183.38, 186.4844, 182.88, 185.30, 5490088
12/05/17, 183.50, 188.14, 181.19, 184.21, 5783697
12/04/17, 189.36, 189.72, 178.38, 184.04, 9069765
12/01/17, 186.99, 189.80, 185.00, 186.82, 6219531
11/30/17, 190.31, 190.86, 186.68, 187.58, 6630051
11/29/17, 198.91, 199.029, 184.32, 188.15, 14202713
11/28/17, 195.34, 199.68, 194.01, 199.18, 6981094
11/27/17, 195.56, 195.85, 194.00, 195.05, 3210145
11/24/17, 196.65, 196.90, 195.33, 195.75, 2160535
11/22/17, 196.58, 196.75, 193.63, 196.32, 5895402
11/21/17, 195.04, 197.52, 194.971, 196.23, 4787311
11/20/17, 193.30, 194.32, 191.90, 194.10, 3827474
11/17/17, 195.74, 195.95, 192.65, 193.20, 3906333
11/16/17, 194.33, 197.70, 193.75, 195.51, 5678355
11/15/17, 194.54, 195.42, 191.53, 192.12, 4203072
11/14/17, 193.64, 195.88, 193.00, 195.71, 3450513
11/13/17, 191.12, 196.05, 191.00, 195.08, 4606951
11/10/17, 191.61, 192.59, 189.50, 192.02, 6622168
11/09/17, 194.46, 194.49, 190.81, 193.90, 5979925
11/08/17, 196.00, 197.09, 194.74, 196.44, 4237398
11/07/17, 200.00, 200.61, 194.80, 195.89, 6467969
11/06/17, 200.00, 202.48, 198.09, 200.13, 5846581
11/03/17, 199.80, 200.55, 197.99, 200.01, 3678829
11/02/17, 197.45, 199.44, 197.0901, 199.32, 3606332
11/01/17, 197.24, 199.199, 196.00, 198.00, 5017420
10/31/17, 198.21, 198.59, 195.218, 196.43, 5518595
10/30/17, 199.62, 201.099, 197.0721, 198.37, 5439563
10/27/17, 197.20, 200.65, 196.22, 199.54, 8128567
10/26/17, 194.66, 197.61, 194.08, 195.21, 5185830
10/25/17, 195.38, 197.055, 193.01, 193.77, 5315269
10/24/17, 192.75, 196.735, 191.40, 196.02, 7069108
10/23/17, 194.17, 194.8999, 191.0346, 192.47, 6979994
10/20/17, 195.90, 196.38, 193.77, 194.16, 5995568
10/19/17, 193.01, 195.25, 191.16, 195.13, 7034602
10/18/17, 199.99, 200.01, 194.25, 195.54, 11198938
10/17/17, 200.11, 204.38, 197.77, 199.48, 23900118
10/16/17, 201.95, 202.83, 197.86, 202.68, 22105442
10/13/17, 199.70, 200.8199, 197.1866, 199.49, 12081252
10/12/17, 196.75, 198.62, 194.71, 195.86, 7765121
10/11/17, 195.57, 196.2199, 193.81, 194.95, 6450161
10/10/17, 197.85, 198.30, 192.10, 195.08, 6233823
10/09/17, 199.10, 199.40, 196.56, 196.87, 6971714
10/06/17, 194.30, 198.92, 192.05, 198.02, 15348356
10/05/17, 185.65, 194.49, 184.49, 194.39, 19412690
10/04/17, 181.41, 186.70, 181.25, 184.45, 9235867
10/03/17, 177.65, 179.70, 177.55, 179.19, 3956940
10/02/17, 182.11, 182.80, 176.58, 177.01, 7342007
09/29/17, 180.73, 182.90, 180.65, 181.35, 4227864
09/28/17, 181.25, 181.95, 179.36, 180.70, 4076986
09/27/17, 181.01, 183.34, 180.70, 181.97, 5710544
09/26/17, 180.70, 180.95, 176.55, 179.38, 5602471
09/25/17, 186.46, 186.55, 177.70, 178.55, 9367231
09/22/17, 188.40, 189.85, 186.39, 187.35, 5464312
09/21/17, 185.82, 189.95, 184.51, 188.78, 7148104
09/20/17, 186.10, 186.50, 183.20, 185.51, 4624993
09/19/17, 184.98, 186.23, 184.17, 185.68, 4982086
09/18/17, 183.61, 185.45, 182.73, 184.62, 5359569
09/15/17, 182.73, 184.93, 181.43, 182.35, 5591743
09/14/17, 183.25, 185.2882, 182.07, 182.63, 4510722
09/13/17, 184.07, 184.4995, 182.55, 183.64, 4320349
09/12/17, 182.55, 185.33, 180.6435, 185.15, 6689568
09/11/17, 178.10, 182.47, 178.03, 181.74, 5979447
09/08/17, 178.45, 180.39, 176.25, 176.42, 4590846
09/07/17, 178.80, 180.35, 177.10, 179.00, 6036146
09/06/17, 175.25, 179.46, 173.73, 179.25, 8742643
09/05/17, 173.40, 175.88, 172.44, 174.52, 4597441
09/01/17, 175.55, 176.48, 173.92, 174.74, 3812968
08/31/17, 175.45, 176.24, 173.86, 174.71, 6940990
08/30/17, 169.50, 174.85, 169.37, 174.69, 8034743
08/29/17, 165.00, 169.68, 164.73, 168.81, 4620920
08/28/17, 166.43, 168.67, 165.60, 167.12, 3657264
08/25/17, 168.58, 168.75, 165.50, 165.95, 4064040
08/24/17, 169.86, 171.2363, 166.15, 168.13, 5361749
08/23/17, 168.35, 169.64, 166.70, 169.06, 4632256
08/22/17, 167.76, 169.93, 167.04, 169.34, 4886326
08/21/17, 166.91, 168.99, 164.23, 166.76, 6480708
08/18/17, 165.95, 169.97, 165.80, 166.54, 7385736
08/17/17, 169.23, 170.58, 165.72, 166.09, 5229188
08/16/17, 167.50, 170.50, 166.25, 169.98, 7013557
08/15/17, 171.53, 171.88, 168.25, 168.50, 5656064
08/14/17, 169.80, 172.45, 168.80, 171.00, 7468408
08/11/17, 169.86, 172.58, 169.00, 171.40, 5022334
08/10/17, 174.03, 174.45, 167.60, 169.14, 9693057
08/09/17, 171.43, 175.96, 170.01, 175.78, 9670502
08/08/17, 181.37, 181.91, 177.45, 178.36, 6104043
08/07/17, 181.00, 182.27, 179.10, 181.33, 4609788
08/04/17, 179.60, 181.00, 178.50, 180.27, 4491055
08/03/17, 180.53, 181.2248, 178.02, 179.23, 4627732
08/02/17, 182.22, 182.57, 177.8149, 180.74, 5771336
08/01/17, 182.49, 184.62, 181.43, 182.03, 5112707
07/31/17, 184.26, 184.9738, 180.65, 181.66, 4883606
07/28/17, 182.00, 185.03, 181.18, 184.04, 6201947
07/27/17, 189.89, 190.00, 179.38, 182.68, 11220982
07/26/17, 187.70, 189.7043, 187.51, 189.08, 4479290
07/25/17, 187.79, 188.66, 185.81, 186.97, 5374472
07/24/17, 188.685, 190.25, 187.01, 187.91, 8797260
07/21/17, 182.72, 191.50, 182.71, 188.54, 9277448
07/20/17, 183.84, 185.92, 182.70, 183.60, 7907182
07/19/17, 182.97, 187.17, 181.75, 183.86, 17344321
07/18/17, 176.12, 185.00, 174.24, 183.60, 41587395
07/17/17, 162.91, 163.55, 160.0201, 161.70, 17496685
07/14/17, 159.30, 161.35, 157.97, 161.12, 5549221
07/13/17, 158.51, 160.13, 156.98, 158.21, 6700052
07/12/17, 155.77, 158.80, 155.77, 158.75, 8481779
07/11/17, 152.37, 155.23, 151.55, 154.33, 4898645
07/10/17, 150.34, 153.23, 149.65, 152.67, 5360606
07/07/17, 146.65, 150.75, 146.65, 150.18, 5561263
07/06/17, 146.13, 147.27, 144.25, 146.25, 5486482
07/05/17, 146.58, 148.26, 145.58, 147.61, 4627803
07/03/17, 149.80, 150.45, 145.80, 146.17, 3908215
06/30/17, 149.76, 150.71, 148.42, 149.41, 5213315
06/29/17, 152.82, 152.82, 148.00, 150.09, 7142462
06/28/17, 151.64, 154.20, 150.12, 153.41, 5589883
06/27/17, 156.62, 156.9775, 150.7197, 151.03, 7424252
06/26/17, 158.78, 159.97, 156.56, 157.50, 6015974
06/23/17, 155.01, 158.19, 153.76, 158.02, 6250761
06/22/17, 155.13, 155.20, 153.70, 154.89, 3769167
06/21/17, 152.50, 155.38, 152.26, 155.03, 5803446
06/20/17, 153.68, 154.50, 151.40, 152.05, 4878673
06/19/17, 154.29, 155.58, 152.41, 153.40, 6544298
06/16/17, 151.45, 153.53, 150.39, 152.38, 6909705
06/15/17, 149.44, 152.56, 147.30, 151.76, 7319746
06/14/17, 154.34, 155.615, 150.28, 152.20, 6461758
06/13/17, 154.38, 155.68, 150.13, 152.72, 8484746
06/12/17, 155.30, 155.53, 148.31, 151.44, 14114477
06/09/17, 166.27, 166.27, 154.50, 158.03, 10291954
06/08/17, 166.12, 166.87, 164.84, 165.88, 3719102
06/07/17, 165.60, 166.40, 164.4086, 165.61, 3353099
06/06/17, 164.95, 166.82, 164.51, 165.17, 4382092
06/05/17, 165.49, 165.50, 163.43, 165.06, 3875174
06/02/17, 163.42, 165.36, 162.80, 165.18, 4259081
06/01/17, 163.52, 163.9316, 161.70, 162.99, 3896317
05/31/17, 163.61, 164.00, 160.74, 163.07, 5328919
05/30/17, 163.60, 164.75, 162.71, 163.22, 4828637
05/26/17, 162.84, 163.05, 161.12, 162.43, 4834291
05/25/17, 161.00, 164.10, 160.55, 163.05, 8560961
05/24/17, 158.35, 158.48, 157.17, 157.75, 2989797
05/23/17, 157.75, 158.31, 156.80, 157.95, 3370930
05/22/17, 157.86, 158.60, 156.43, 157.16, 3744055
05/19/17, 156.15, 158.05, 155.91, 157.02, 4091486
05/18/17, 153.61, 156.89, 153.24, 155.70, 6802670
05/17/17, 158.09, 158.78, 153.00, 153.20, 8184483
05/16/17, 160.50, 161.18, 159.33, 159.41, 3464912
05/15/17, 160.25, 161.78, 159.76, 160.02, 4971954
05/12/17, 159.11, 160.84, 158.51, 160.81, 5092885
05/11/17, 160.33, 160.52, 157.55, 158.54, 5677360
05/10/17, 157.82, 161.10, 156.56, 160.28, 6869879
05/09/17, 156.10, 157.85, 155.97, 157.46, 3911027
05/08/17, 156.55, 157.64, 155.30, 156.38, 4818794
05/05/17, 158.55, 158.59, 155.90, 156.60, 5341735
05/04/17, 155.59, 157.90, 154.55, 157.25, 5582330
05/03/17, 156.29, 156.54, 154.88, 155.59, 3931244
05/02/17, 155.76, 156.50, 154.61, 156.45, 5384839
05/01/17, 151.91, 157.70, 151.61, 155.35, 9031631
04/28/17, 152.71, 152.97, 150.94, 152.20, 6366247
04/27/17, 150.60, 153.49, 149.30, 153.08, 7719365
04/26/17, 151.53, 152.15, 148.90, 150.17, 9274081
04/25/17, 147.46, 153.52, 146.22, 152.16, 20674167
04/24/17, 143.61, 144.50, 143.40, 143.83, 4800920
04/21/17, 141.39, 143.03, 140.9028, 142.87, 6824786
04/20/17, 140.30, 141.80, 139.27, 141.18, 7248180
04/19/17, 143.37, 144.00, 138.66, 139.76, 12395064
04/18/17, 147.34, 147.40, 140.00, 143.36, 19670975
04/17/17, 144.43, 147.32, 144.43, 147.25, 16364743
04/13/17, 144.25, 144.55, 142.76, 142.92, 3685789
04/12/17, 144.85, 145.74, 143.55, 143.83, 4386954
04/11/17, 144.28, 144.54, 141.98, 144.35, 4621451
04/10/17, 143.04, 144.65, 141.21, 143.85, 5807440
04/07/17, 143.79, 143.89, 142.71, 143.11, 3040506
04/06/17, 144.00, 144.14, 143.01, 143.74, 3312410
04/05/17, 146.19, 146.25, 143.26, 143.62, 4607636
04/04/17, 146.84, 147.09, 144.89, 145.50, 4368919
04/03/17, 146.70, 148.005, 145.74, 146.92, 4609336
03/31/17, 148.00, 148.225, 147.33, 147.81, 3888237
03/30/17, 146.81, 148.29, 146.53, 148.06, 4461068
03/29/17, 145.50, 147.18, 144.9089, 146.47, 3855031
03/28/17, 144.10, 146.11, 143.92, 145.17, 4638003
03/27/17, 140.83, 144.39, 140.00, 144.06, 4771650
03/24/17, 142.36, 142.80, 141.58, 142.02, 3546599
03/23/17, 142.14, 142.89, 141.26, 141.84, 3712625
03/22/17, 142.545, 143.80, 140.76, 142.65, 6486893
03/21/17, 146.75, 147.70, 142.10, 142.42, 7669753
03/20/17, 145.45, 146.25, 144.58, 145.83, 3421046
03/17/17, 144.05, 145.76, 143.40, 145.11, 6281316
03/16/17, 145.50, 146.50, 144.22, 144.39, 5286456
03/15/17, 144.20, 145.52, 143.23, 145.25, 5987198
03/14/17, 142.95, 143.31, 141.70, 143.19, 4660294
