Date, Open, High, Low, Close, Volume
06/29/18, 56.13, 56.86, 56.08, 56.12, 11274134
06/28/18, 55.12, 56.46, 55.09, 55.90, 11723595
06/27/18, 56.55, 57.53, 55.14, 55.17, 11832362
06/26/18, 57.08, 57.1455, 56.31, 56.45, 8934723
06/25/18, 58.09, 58.14, 56.61, 57.05, 8635917
06/22/18, 58.78, 59.10, 58.43, 58.50, 8074080
06/21/18, 59.21, 59.21, 58.39, 58.75, 6605359
06/20/18, 59.18, 59.20, 58.31, 58.79, 6526391
06/19/18, 58.28, 58.735, 57.85, 58.70, 7958317
06/18/18, 59.31, 59.37, 58.92, 59.20, 6946581
06/15/18, 59.87, 59.95, 58.92, 59.86, 13804932
06/14/18, 59.29, 59.70, 58.95, 59.46, 8372926
06/13/18, 59.67, 60.23, 59.12, 59.22, 9676268
06/12/18, 60.11, 60.38, 59.545, 59.79, 7153498
06/11/18, 60.17, 60.415, 59.82, 59.93, 7369462
06/08/18, 60.25, 60.62, 59.805, 60.26, 7035297
06/07/18, 62.00, 62.65, 60.22, 60.64, 14786130
06/06/18, 59.26, 59.85, 59.11, 59.84, 6236683
06/05/18, 58.86, 59.6002, 58.76, 58.98, 6562650
06/04/18, 58.62, 58.87, 57.95, 58.71, 9696722
06/01/18, 58.34, 58.73, 58.01, 58.61, 8869656
05/31/18, 58.00, 58.57, 57.7601, 58.12, 12813170
05/30/18, 58.41, 58.65, 57.66, 58.39, 9145989
05/29/18, 59.50, 59.5999, 57.70, 58.23, 14696263
05/25/18, 58.85, 60.00, 58.81, 59.96, 11501515
05/24/18, 58.58, 59.25, 58.05, 59.08, 12487193
05/23/18, 56.91, 58.86, 56.83, 58.82, 11322475
05/22/18, 57.91, 58.36, 57.07, 57.39, 9432465
05/21/18, 57.68, 58.27, 56.765, 57.71, 14286354
05/18/18, 56.93, 57.99, 56.396, 57.51, 11999712
05/17/18, 56.49, 57.3801, 56.39, 56.95, 11450651
05/16/18, 55.76, 56.81, 55.67, 56.70, 8675559
05/15/18, 56.50, 56.61, 55.2204, 55.64, 12050469
05/14/18, 57.33, 57.80, 56.34, 56.74, 15400256
05/11/18, 54.76, 55.79, 54.619, 55.23, 9639137
05/10/18, 54.45, 55.07, 53.945, 54.97, 12267198
05/09/18, 52.86, 53.325, 52.20, 53.17, 7016103
05/08/18, 53.04, 53.27, 52.105, 52.86, 9929970
05/07/18, 52.58, 53.27, 52.52, 53.01, 9571714
05/04/18, 50.18, 52.60, 49.9194, 52.49, 9880580
05/03/18, 49.99, 50.544, 49.31, 50.31, 8609168
05/02/18, 51.24, 51.25, 49.92, 50.26, 8142996
05/01/18, 50.76, 51.05, 50.04, 50.82, 6780517
04/30/18, 51.25, 51.82, 51.00, 51.01, 9469642
04/27/18, 50.75, 51.36, 50.49, 51.11, 9443094
04/26/18, 49.52, 50.59, 48.56, 50.47, 13683975
04/25/18, 50.00, 50.44, 48.87, 49.75, 9619236
04/24/18, 50.88, 51.29, 49.38, 49.94, 11670049
04/23/18, 51.50, 51.81, 50.27, 50.53, 10961471
04/20/18, 52.81, 52.89, 51.32, 51.44, 11838157
04/19/18, 54.00, 54.14, 52.50, 52.57, 19179461
04/18/18, 55.14, 55.62, 54.88, 55.23, 4796812
04/17/18, 54.99, 55.6767, 54.78, 55.35, 7089710
04/16/18, 55.94, 55.99, 54.57, 54.77, 7850467
04/13/18, 56.61, 56.79, 55.4189, 55.73, 12588216
04/12/18, 55.47, 55.65, 55.02, 55.20, 7412746
04/11/18, 54.19, 55.07, 54.15, 55.01, 6205294
04/10/18, 54.58, 55.01, 54.215, 54.77, 12331362
04/09/18, 53.52, 54.89, 53.34, 53.43, 7608458
04/06/18, 54.42, 54.77, 53.11, 53.12, 8322160
04/05/18, 55.49, 55.50, 54.44, 55.04, 5823253
04/04/18, 53.80, 55.12, 53.421, 54.99, 7496667
04/03/18, 54.29, 55.05, 53.62, 54.78, 7930674
04/02/18, 55.10, 55.24, 53.07, 53.81, 16469583
03/29/18, 55.04, 55.93, 54.6217, 55.41, 8482462
03/28/18, 54.81, 55.97, 54.455, 54.70, 12925503
03/27/18, 56.59, 57.24, 54.54, 54.84, 12243196
03/26/18, 54.58, 56.14, 54.25, 56.13, 12093907
03/23/18, 55.63, 56.15, 53.65, 53.66, 14713281
