Date, Open, High, Low, Close, Volume
06/29/18, 48.08, 49.26, 48.08, 48.85, 17413010
06/28/18, 49.45, 49.48, 47.37, 48.54, 33210109
06/27/18, 50.52, 50.53, 49.84, 49.84, 14576867
06/26/18, 50.51, 50.63, 50.11, 50.38, 12930561
06/25/18, 51.16, 51.4366, 50.21, 50.66, 15578586
06/22/18, 51.00, 51.72, 50.82, 51.24, 24429564
06/21/18, 52.29, 52.63, 50.36, 50.62, 30722957
06/20/18, 54.83, 55.01, 51.58, 52.22, 62091071
06/19/18, 56.65, 57.50, 56.34, 57.43, 9965474
06/18/18, 56.77, 57.32, 56.105, 57.22, 9676910
06/15/18, 57.04, 57.21, 56.459, 57.11, 12408270
06/14/18, 56.46, 57.07, 56.31, 57.02, 11049707
06/13/18, 56.51, 56.70, 56.18, 56.21, 8283213
06/12/18, 56.60, 56.90, 56.30, 56.48, 8249711
06/11/18, 56.61, 56.74, 56.27, 56.48, 7181724
06/08/18, 56.92, 57.06, 56.52, 56.60, 8433528
06/07/18, 57.29, 57.94, 57.09, 57.14, 7919801
06/06/18, 55.835, 57.18, 55.62, 57.17, 13709779
06/05/18, 56.69, 56.70, 55.28, 55.68, 18278843
06/04/18, 57.10, 57.20, 56.80, 57.07, 7484072
06/01/18, 56.84, 57.03, 56.6068, 56.91, 4967653
05/31/18, 57.18, 57.4658, 56.55, 56.67, 9433042
05/30/18, 57.43, 57.66, 57.15, 57.48, 5762434
05/29/18, 57.70, 57.88, 57.01, 57.23, 6475865
05/25/18, 57.68, 58.38, 57.58, 57.92, 6783776
05/24/18, 57.44, 57.74, 57.115, 57.68, 5681592
05/23/18, 56.80, 57.57, 56.76, 57.49, 5339882
05/22/18, 57.50, 57.62, 56.91, 56.96, 5355604
05/21/18, 57.40, 57.82, 57.2605, 57.34, 5379291
05/18/18, 57.27, 57.39, 56.86, 57.16, 7786028
05/17/18, 57.20, 57.35, 56.98, 57.20, 6110124
05/16/18, 56.83, 57.325, 56.79, 57.15, 4843941
05/15/18, 57.00, 57.10, 56.35, 56.64, 7415770
05/14/18, 57.36, 57.51, 56.99, 57.13, 5871783
05/11/18, 57.72, 57.86, 57.07, 57.27, 5843427
05/10/18, 57.18, 57.70, 57.02, 57.65, 6565825
05/09/18, 57.43, 57.62, 56.79, 57.04, 7015334
05/08/18, 57.45, 57.71, 57.001, 57.67, 7234031
05/07/18, 58.99, 59.04, 57.2748, 57.45, 10630594
05/04/18, 56.54, 57.93, 56.49, 57.68, 9279180
05/03/18, 56.52, 56.57, 55.54, 56.13, 7152390
05/02/18, 58.06, 58.09, 56.53, 56.70, 7299089
05/01/18, 57.67, 58.25, 57.44, 58.13, 7257462
04/30/18, 58.39, 58.51, 57.46, 57.57, 7854596
04/27/18, 58.07, 58.98, 57.50, 58.36, 11975153
04/26/18, 58.11, 60.18, 57.85, 59.38, 14516626
04/25/18, 58.27, 58.27, 57.29, 57.71, 8367357
04/24/18, 58.48, 58.66, 57.65, 57.81, 7793565
04/23/18, 58.01, 58.73, 57.69, 58.16, 8444396
04/20/18, 59.03, 59.18, 57.795, 58.00, 12037567
04/19/18, 59.42, 59.49, 58.73, 59.22, 6280126
04/18/18, 59.73, 59.83, 59.44, 59.50, 5914193
04/17/18, 59.75, 60.00, 59.40, 59.83, 6139581
04/16/18, 59.13, 59.69, 58.84, 59.43, 6119171
04/13/18, 59.00, 59.55, 58.96, 59.24, 6689776
04/12/18, 59.66, 60.12, 59.42, 59.43, 6088247
04/11/18, 59.19, 59.71, 59.00, 59.42, 5508027
04/10/18, 59.11, 59.49, 58.87, 59.41, 6671853
04/09/18, 58.54, 59.37, 58.42, 58.70, 8023776
04/06/18, 58.78, 59.135, 58.09, 58.34, 8264473
04/05/18, 59.00, 59.27, 58.855, 59.14, 6305050
04/04/18, 57.25, 58.97, 57.21, 58.83, 7893065
04/03/18, 56.55, 58.045, 56.445, 58.00, 10908217
04/02/18, 57.52, 57.73, 55.38, 56.24, 16778277
03/29/18, 57.26, 58.14, 56.83, 57.89, 12015218
03/28/18, 57.50, 58.10, 57.22, 57.90, 9301897
03/27/18, 58.10, 58.50, 57.14, 57.46, 7562939
03/26/18, 56.96, 58.00, 56.55, 57.80, 8444852
03/23/18, 57.78, 58.07, 56.31, 56.31, 9476776
03/22/18, 58.03, 58.72, 57.75, 57.77, 6846463
03/21/18, 58.75, 59.55, 58.39, 58.47, 6569109
03/20/18, 58.45, 58.98, 58.45, 58.66, 5888445
03/19/18, 58.70, 58.85, 57.80, 58.30, 9350572
03/16/18, 59.38, 59.65, 58.94, 59.00, 13030896
03/15/18, 58.93, 60.07, 58.82, 59.37, 7377036
03/14/18, 59.28, 59.72, 58.705, 58.83, 6488531
03/13/18, 59.70, 60.70, 58.89, 59.05, 10411354
03/12/18, 58.67, 59.68, 58.48, 59.40, 10550283
03/09/18, 57.67, 58.63, 57.67, 58.46, 9539124
03/08/18, 57.29, 57.80, 57.13, 57.47, 7434706
03/07/18, 56.62, 57.165, 56.62, 57.03, 7044099
03/06/18, 57.25, 57.25, 56.54, 57.03, 8046794
03/05/18, 56.83, 57.42, 56.68, 56.99, 7835398
03/02/18, 55.72, 57.20, 55.6805, 56.93, 11555132
03/01/18, 57.00, 57.56, 55.83, 56.17, 11127627
02/28/18, 56.84, 57.92, 56.83, 57.10, 11541059
02/27/18, 57.29, 57.64, 56.56, 56.57, 8821414
02/26/18, 56.42, 57.35, 56.32, 57.17, 8713847
02/23/18, 55.65, 56.15, 54.80, 56.14, 11394350
02/22/18, 55.95, 56.14, 55.26, 55.40, 10172399
02/21/18, 55.93, 56.74, 55.86, 56.10, 7850950
02/20/18, 56.29, 56.54, 55.83, 55.97, 9450906
02/16/18, 56.65, 57.05, 56.34, 56.48, 10151328
02/15/18, 56.36, 56.83, 55.90, 56.58, 10294949
02/14/18, 55.47, 56.70, 55.29, 55.99, 14190323
02/13/18, 55.25, 55.72, 55.02, 55.67, 10416385
02/12/18, 54.86, 55.73, 54.55, 55.38, 10968956
02/09/18, 54.20, 55.06, 53.65, 54.58, 19382011
02/08/18, 54.50, 54.789, 53.75, 53.77, 17736671
02/07/18, 55.08, 55.43, 54.44, 54.46, 13927022
02/06/18, 53.685, 56.06, 53.56, 55.61, 17415065
02/05/18, 55.53, 56.26, 54.57, 54.69, 16059955
02/02/18, 55.90, 56.32, 55.70, 55.77, 15358909
02/01/18, 56.28, 56.42, 55.89, 56.00, 14690146
01/31/18, 57.23, 57.45, 56.70, 56.81, 13118364
01/30/18, 56.96, 57.54, 56.74, 57.19, 14341155
01/29/18, 57.55, 58.35, 56.91, 57.02, 18899867
01/26/18, 57.94, 58.17, 56.55, 57.99, 51851690
01/25/18, 61.03, 61.20, 60.40, 60.55, 16225618
01/24/18, 61.51, 61.94, 60.2326, 60.83, 11911867
01/23/18, 61.32, 61.91, 61.14, 61.69, 10806783
01/22/18, 61.04, 61.47, 60.77, 61.41, 11945783
01/19/18, 61.21, 61.46, 60.95, 61.26, 8361853
01/18/18, 61.43, 61.44, 60.735, 61.09, 9170903
01/17/18, 61.00, 61.33, 60.52, 60.66, 8433771
01/16/18, 60.33, 61.10, 60.30, 60.56, 8040748
