Date, Open, High, Low, Close, Volume
06/29/18, 32.25, 32.49, 32.05, 32.11, 42028711
06/28/18, 31.75, 32.32, 31.66, 32.19, 42241887
06/27/18, 31.98, 32.05, 31.64, 31.65, 46426999
06/26/18, 31.73, 31.81, 31.40, 31.62, 44643591
06/25/18, 31.65, 31.95, 31.58, 31.71, 48623447
06/22/18, 31.73, 31.89, 31.51, 31.69, 63900036
06/21/18, 32.10, 32.30, 31.51, 31.60, 51425403
06/20/18, 32.50, 32.58, 31.95, 32.00, 55805218
06/19/18, 32.00, 32.60, 31.96, 32.39, 87343701
06/18/18, 33.02, 33.04, 32.10, 32.19, 78654710
06/15/18, 32.62, 33.27, 32.15, 33.15, 113983823
06/14/18, 32.60, 32.98, 32.10, 32.52, 88703108
06/13/18, 33.00, 33.14, 32.21, 32.22, 195082730
06/12/18, 34.51, 34.53, 34.08, 34.35, 59401268
06/11/18, 33.97, 34.48, 33.81, 34.18, 37157948
06/08/18, 33.66, 34.03, 33.58, 33.83, 33183619
06/07/18, 33.07, 33.97, 32.90, 33.81, 42562592
06/06/18, 32.77, 33.56, 32.60, 33.38, 34143281
06/05/18, 32.41, 32.71, 32.30, 32.68, 23413313
06/04/18, 32.58, 32.68, 32.37, 32.41, 18378731
06/01/18, 32.48, 32.61, 32.36, 32.47, 23764267
05/31/18, 32.52, 32.55, 32.16, 32.32, 29417475
05/30/18, 32.36, 32.6375, 32.28, 32.57, 24135764
05/29/18, 32.46, 32.49, 32.14, 32.33, 26957135
05/25/18, 32.70, 32.72, 32.39, 32.51, 21816330
05/24/18, 32.39, 32.81, 32.21, 32.78, 35254745
05/23/18, 32.42, 32.525, 32.05, 32.33, 25966238
05/22/18, 32.63, 32.81, 32.40, 32.43, 29387281
05/21/18, 32.16, 32.65, 31.895, 32.59, 28688946
05/18/18, 31.94, 32.10, 31.78, 32.05, 21880412
05/17/18, 32.38, 32.41, 31.90, 31.93, 25420555
05/16/18, 32.09, 32.41, 32.05, 32.30, 19056312
05/15/18, 32.14, 32.24, 31.81, 32.09, 26506812
05/14/18, 32.39, 32.48, 32.105, 32.19, 26894988
05/11/18, 32.00, 32.31, 31.99, 32.29, 27512317
05/10/18, 31.58, 32.03, 31.50, 31.88, 29909412
05/09/18, 31.63, 31.71, 31.17, 31.40, 37494364
05/08/18, 31.97, 32.00, 31.58, 31.70, 33513948
05/07/18, 32.22, 32.25, 31.85, 32.04, 26266284
05/04/18, 31.94, 32.27, 31.8201, 32.14, 25539542
05/03/18, 32.04, 32.15, 31.61, 31.94, 40296150
05/02/18, 32.63, 32.63, 31.90, 32.06, 40178616
05/01/18, 32.75, 32.91, 32.36, 32.54, 35817129
04/30/18, 33.27, 33.41, 32.67, 32.70, 46154796
04/27/18, 33.14, 33.56, 33.02, 33.04, 54209888
04/26/18, 33.44, 33.70, 32.465, 33.10, 132230365
04/25/18, 34.8688, 35.24, 34.73, 35.20, 25291217
04/24/18, 35.15, 35.33, 34.76, 35.00, 21572221
04/23/18, 34.71, 34.89, 34.59, 34.89, 21211939
04/20/18, 34.86, 35.06, 34.15, 34.67, 32452801
04/19/18, 35.24, 35.27, 34.81, 34.82, 23543932
04/18/18, 35.48, 35.54, 35.16, 35.21, 21601034
04/17/18, 35.69, 35.765, 35.31, 35.36, 20585770
04/16/18, 35.37, 35.82, 35.215, 35.64, 24897295
04/13/18, 35.21, 35.37, 35.02, 35.14, 14374835
04/12/18, 35.42, 35.47, 35.06, 35.16, 21950205
04/11/18, 35.66, 35.73, 35.18, 35.25, 21045775
04/10/18, 35.32, 36.39, 35.05, 35.81, 40263863
04/09/18, 35.24, 35.70, 35.06, 35.17, 21879644
04/06/18, 36.01, 36.20, 35.42, 35.63, 25117409
04/05/18, 35.93, 36.21, 35.6834, 36.14, 17103329
04/04/18, 35.04, 35.94, 34.98, 35.88, 20562124
04/03/18, 35.16, 35.42, 34.85, 35.37, 21880171
04/02/18, 35.58, 35.66, 34.8299, 35.10, 29232922
03/29/18, 35.68, 35.89, 35.02, 35.65, 27564088
03/28/18, 35.29, 35.85, 35.24, 35.56, 30746165
03/27/18, 34.85, 35.20, 34.69, 34.90, 33860715
03/26/18, 35.06, 35.2866, 34.44, 34.69, 31492531
03/23/18, 35.37, 35.99, 34.55, 34.70, 35027990
03/22/18, 35.95, 36.04, 35.36, 35.37, 28196930
03/21/18, 36.34, 36.50, 36.00, 36.00, 17437156
03/20/18, 36.68, 36.82, 36.18, 36.34, 20167101
03/19/18, 36.98, 37.095, 36.47, 36.58, 19637887
03/16/18, 37.09, 37.34, 36.90, 37.00, 37103039
03/15/18, 37.09, 37.29, 37.01, 37.04, 21879149
03/14/18, 37.59, 37.59, 36.96, 37.03, 18605247
03/13/18, 37.55, 37.81, 37.26, 37.39, 19183815
03/12/18, 37.05, 37.565, 37.04, 37.36, 22305006
03/09/18, 37.17, 37.22, 36.82, 37.05, 18806183
03/08/18, 36.91, 37.11, 36.56, 37.11, 19766286
03/07/18, 36.59, 37.025, 36.56, 36.91, 18485992
03/06/18, 36.83, 36.90, 36.50, 36.87, 17462057
03/05/18, 36.20, 36.82, 36.10, 36.70, 19298996
03/02/18, 36.00, 36.40, 35.95, 36.35, 21364000
03/01/18, 36.31, 36.75, 35.865, 36.00, 28548902
02/28/18, 37.18, 37.18, 36.30, 36.30, 29281673
02/27/18, 37.42, 37.64, 36.87, 36.87, 21420614
02/26/18, 36.93, 37.51, 36.81, 37.46, 19871434
02/23/18, 36.55, 36.75, 36.29, 36.72, 17446314
02/22/18, 36.47, 36.99, 36.41, 36.47, 18537517
02/21/18, 36.77, 37.0388, 36.28, 36.31, 20792614
02/20/18, 36.88, 37.09, 36.67, 36.77, 22071534
02/16/18, 36.98, 37.39, 36.8601, 37.14, 19901638
02/15/18, 36.47, 37.00, 36.23, 37.00, 27507162
02/14/18, 36.40, 36.769, 36.11, 36.41, 24834221
02/13/18, 36.29, 36.71, 35.97, 36.60, 22877170
02/12/18, 36.33, 36.60, 35.97, 36.37, 27750742
02/09/18, 35.83, 36.35, 35.03, 36.05, 50218426
02/08/18, 36.89, 36.95, 35.57, 35.57, 45743025
02/07/18, 36.81, 37.45, 36.74, 36.93, 35634519
02/06/18, 36.08, 37.07, 35.50, 36.83, 62905300
02/05/18, 37.81, 38.31, 36.63, 36.63, 45595537
02/02/18, 39.03, 39.04, 37.81, 38.07, 46098657
02/01/18, 38.51, 39.29, 38.401, 39.16, 59963826
01/31/18, 37.42, 37.9248, 37.33, 37.45, 41422384
01/30/18, 37.36, 37.80, 37.30, 37.44, 29883171
01/29/18, 37.13, 37.68, 36.98, 37.26, 30879645
01/26/18, 37.46, 37.82, 37.36, 37.82, 21608455
01/25/18, 37.09, 37.45, 36.84, 37.45, 23400305
01/24/18, 37.29, 37.385, 36.98, 37.02, 28567810
01/23/18, 37.95, 38.22, 37.03, 37.19, 33035978
01/22/18, 37.20, 37.90, 36.98, 37.87, 31660644
01/19/18, 37.37, 37.37, 36.94, 37.21, 27919839
01/18/18, 36.84, 37.38, 36.81, 37.15, 27661060
01/17/18, 36.77, 36.95, 36.485, 36.85, 22050208
01/16/18, 36.90, 37.02, 36.54, 36.72, 24727605
01/12/18, 36.48, 36.99, 36.32, 36.90, 31182186
01/11/18, 36.67, 36.77, 36.37, 36.48, 41400305
01/10/18, 37.39, 37.39, 36.54, 36.62, 41078627
01/09/18, 37.63, 37.99, 37.48, 37.49, 28061066
01/08/18, 38.15, 38.48, 37.85, 38.25, 26643949
01/05/18, 38.14, 38.16, 37.80, 38.14, 22194851
01/04/18, 37.75, 38.19, 37.26, 38.00, 27865665
01/03/18, 38.47, 38.49, 37.53, 37.65, 39162458
01/02/18, 39.06, 39.06, 38.36, 38.54, 32195623
12/29/17, 39.22, 39.32, 38.88, 38.88, 26479899
12/28/17, 39.00, 39.20, 38.88, 39.18, 15627434
12/27/17, 39.08, 39.14, 38.71, 38.89, 16339334
12/26/17, 38.95, 39.325, 38.95, 39.06, 13578192
12/22/17, 38.78, 39.11, 38.70, 38.94, 19960503
12/21/17, 38.56, 39.29, 38.471, 38.88, 31981720
12/20/17, 38.27, 38.84, 38.18, 38.55, 26968863
12/19/17, 38.46, 38.6785, 38.03, 38.05, 29181805
12/18/17, 38.50, 38.89, 38.385, 38.46, 31497249
12/15/17, 38.14, 38.29, 37.93, 38.24, 46808578
12/14/17, 37.86, 38.1556, 37.68, 37.74, 34286518
12/13/17, 38.01, 38.19, 37.37, 38.04, 39671434
12/12/17, 37.03, 38.17, 36.98, 38.10, 46399912
12/11/17, 36.65, 36.94, 36.52, 36.90, 23666709
12/08/17, 36.16, 36.75, 36.15, 36.73, 25507428
12/07/17, 36.13, 36.40, 35.81, 36.17, 24529301
12/06/17, 36.41, 36.45, 36.025, 36.11, 31172158
12/05/17, 37.20, 37.29, 36.52, 36.55, 33055388
12/04/17, 36.795, 37.54, 36.75, 37.27, 40482422
12/01/17, 36.35, 36.75, 35.925, 36.50, 31437115
11/30/17, 36.50, 36.90, 36.025, 36.38, 49831258
11/29/17, 36.37, 36.55, 35.41, 36.48, 53178129
11/28/17, 34.56, 35.54, 34.56, 35.42, 34450425
11/27/17, 34.84, 35.01, 34.55, 34.68, 26793427
11/24/17, 34.87, 34.95, 34.74, 34.81, 9203078
11/22/17, 34.28, 34.91, 34.20, 34.87, 26453909
11/21/17, 34.60, 34.75, 34.29, 34.33, 35417001
11/20/17, 34.55, 34.90, 34.44, 34.64, 31264652
11/17/17, 34.43, 34.88, 34.35, 34.51, 36967216
11/16/17, 33.86, 34.66, 33.81, 34.52, 39966218
11/15/17, 34.02, 34.20, 33.65, 33.81, 32882313
11/14/17, 34.19, 34.20, 33.58, 33.72, 30261233
11/13/17, 34.28, 34.36, 34.14, 34.17, 28861756
11/10/17, 34.17, 34.48, 34.10, 34.22, 57476582
11/09/17, 33.43, 34.453, 33.35, 34.00, 69915864
11/08/17, 32.85, 33.50, 32.78, 33.44, 87599244
11/07/17, 32.83, 33.12, 32.7143, 33.07, 30060967
11/06/17, 33.07, 33.08, 32.55, 32.86, 47747017
11/03/17, 33.34, 33.39, 32.95, 33.30, 40239320
11/02/17, 33.57, 34.424, 32.93, 33.17, 72968207
11/01/17, 33.86, 33.94, 33.29, 33.55, 37844704
10/31/17, 33.64, 33.84, 33.43, 33.65, 36376366
10/30/17, 34.02, 34.33, 33.39, 33.54, 51695635
10/27/17, 33.68, 34.02, 33.54, 33.97, 52317302
10/26/17, 33.75, 33.89, 33.60, 33.68, 45121512
10/25/17, 34.26, 34.35, 33.33, 33.49, 96377175
10/24/17, 35.31, 35.36, 34.81, 34.86, 52235811
10/23/17, 35.42, 35.66, 35.19, 35.25, 30902268
10/20/17, 35.79, 35.84, 35.40, 35.54, 37835452
10/19/17, 35.93, 36.33, 35.59, 35.69, 32887368
10/18/17, 36.23, 36.28, 35.51, 35.71, 36764776
10/17/17, 36.17, 36.29, 35.99, 36.23, 21663555
10/16/17, 35.82, 36.45, 35.75, 36.17, 31097057
10/13/17, 35.84, 36.04, 35.25, 35.70, 56085354
10/12/17, 37.49, 37.53, 35.83, 35.86, 81505275
10/11/17, 38.52, 38.61, 38.05, 38.19, 26978001
10/10/17, 38.35, 38.61, 38.27, 38.50, 17317456
10/09/17, 38.65, 38.67, 38.15, 38.30, 19247893
10/06/17, 38.84, 39.05, 38.54, 38.59, 22431894
10/05/17, 39.61, 39.80, 39.40, 39.51, 22606241
10/04/17, 39.37, 39.66, 39.245, 39.50, 17913250
10/03/17, 39.19, 39.48, 39.09, 39.48, 16067551
10/02/17, 39.20, 39.31, 39.07, 39.11, 15604301
09/29/17, 38.95, 39.22, 38.81, 39.17, 21961431
09/28/17, 38.68, 39.17, 38.59, 39.04, 17368873
09/27/17, 38.63, 38.91, 38.51, 38.77, 23768508
09/26/17, 39.12, 39.31, 38.70, 38.72, 22605912
09/25/17, 38.53, 39.19, 38.50, 39.12, 36179101
09/22/17, 38.40, 38.65, 38.21, 38.59, 23212623
